,MMSI,ud_group,Name,Size (m),GT (tons),DWT (tons),Draught,Max speed (knots)
0,366345000,Research,THOMAS G THOMPSON,83.26x16,3095,,14.3,5.7
1,356190000,Cargo,PANTERA ROSA ,225x32,41662,78844,9.9,10.7
2,352358000,Cargo,CAP SAN ARTEMISSIO,333.2x48.25,119441,131095,8.6,15.9
3,303668000,Fishing type,GULF RELIANCE,38.72x12.81,950,532,6.6,14.1
4,366364000,Cargo,KAUAI,219.58x28.96,25640,26350,6.8,9.9
5,367241000,Research,ATLANTIS,83.27x16,3180,,5.8,13.9
6,367800100,Research,ROGER REVELLE,83.26x16,3180,,5.5,15.4
7,373483000,Cargo,GRACE MILD,225x32.26,38731,75563,7.1,13.8
8,367466760,Fishing type,MARINA,27.24x7.31,171,,2.7,10.8
9,338415000,Offshore,RACHEL CARSON,41.46x10.37,430,428,3,10.9
10,372305000,Cargo,FEDERAL IRIS,199.98x32.24,35832,63498,6.8,15
11,538006456,Cargo,EVA BULKER,185x31,23950,38140,9.5,12
12,369565000,Research,KILO MOANA,56.57x26.82,3060,150,7.9,12.5
13,371186000,Offshore,AFRICAN OASIS,199.98x32,35834,63477,11.9,15.2
14,538004507,Cargo,YASA EAGLE,229x32.26,44557,81525,7.5,15
